iter	RMSE
0	5.092887154
1	4.955111073
2	4.832003502
3	4.708711015
4	4.590012866
5	4.473131859
6	4.36652096
7	4.263962653
8	4.166411377
9	4.06951619
10	3.985249134
11	3.891815293
12	3.817350653
13	3.736505865
14	3.654173487
15	3.584058936
16	3.518013391
17	3.444589761
18	3.376040704
19	3.314233198
20	3.250901158
21	3.195204002
22	3.139440035
23	3.089047443
24	3.036527624
25	2.98622272
26	2.945695389
27	2.898151005
28	2.854560349
29	2.812479254
30	2.766704331
31	2.723028024
32	2.686387351
33	2.647223763
34	2.612037676
35	2.574378845
36	2.539023842
37	2.504336097
38	2.470787032
39	2.440786263
40	2.432098287
41	2.401007338
42	2.374145949
43	2.348441067
44	2.322199934
45	2.302848213
46	2.296612208
47	2.273056852
48	2.247114112
49	2.220202455
50	2.19841506
51	2.173189451
52	2.150107437
53	2.141792192
54	2.124833704
55	2.10822246
56	2.087058704
57	2.068663094
58	2.058273365
59	2.049171238
60	2.032173867
61	2.009608033
62	1.996259598
63	1.979067695
64	1.957969384
65	1.94100149
66	1.927108461
67	1.922299241
68	1.917807219
69	1.900455678
70	1.88678196
71	1.873026495
72	1.853183336
73	1.839098826
74	1.824361786
75	1.806845998
76	1.79976602
77	1.784826631
78	1.771204724
79	1.75964696
80	1.744650633
81	1.734781582
82	1.722503317
83	1.712796025
84	1.70090229
85	1.697475831
86	1.692365805
87	1.677806774
88	1.665950428
89	1.654905805
90	1.645478182
91	1.628409201
92	1.619951646
93	1.616419273
94	1.605522737
95	1.591942041
96	1.589113999
97	1.57619142
98	1.566165265
99	1.556232163
100	1.544843878
101	1.534897211
102	1.523485693
103	1.511507918
104	1.503487161
105	1.498403487
106	1.489282637
107	1.482216346
108	1.475621816
109	1.469883685
110	1.460890113
111	1.457123213
112	1.4471116
113	1.440950177
114	1.434649419
115	1.427372725
116	1.425140045
117	1.416313193
118	1.413573666
119	1.40959465
120	1.405945091
121	1.400732138
122	1.397619079
123	1.391707348
124	1.38669773
125	1.379944621
126	1.373883136
127	1.372251323
128	1.369095829
129	1.365244516
130	1.360338911
131	1.358473696
132	1.352819669
133	1.342931459
134	1.33459943
135	1.326875303
136	1.321839792
137	1.317126682
138	1.31205138
139	1.310790816
140	1.306046346
141	1.300020201
142	1.297862172
143	1.294954357
144	1.286277085
145	1.282682086
146	1.281146077
147	1.279599938
148	1.276593747
149	1.271698642
150	1.270113469
151	1.266890663
152	1.262259575
153	1.261314724
154	1.259885254
155	1.252874597
156	1.25032677
157	1.244179913
158	1.236278199
159	1.228699946
160	1.226735676
161	1.223194811
162	1.217414148
163	1.213055671
164	1.206564429
165	1.198792628
166	1.1974111
167	1.188852973
168	1.176872129
169	1.169433195
170	1.168078285
171	1.166815337
172	1.157137799
173	1.149238856
174	1.146611259
175	1.14128546
176	1.134615932
177	1.133516485
178	1.132483657
179	1.125697535
180	1.124594632
181	1.118879051
182	1.1178211
183	1.116793611
184	1.109602889
185	1.107090773
186	1.106088812
187	1.105153763
188	1.098011006
189	1.091919377
190	1.087948131
191	1.078345398
192	1.076407166
193	1.075603033
194	1.074787707
195	1.067979859
196	1.061248474
197	1.059154792
198	1.056345085
199	1.051527398
200	1.046004989
201	1.043541235
202	1.042845214
203	1.037910428
204	1.031428021
205	1.024414605
206	1.022403714
207	1.018660376
208	1.010960492
209	1.008818157
210	1.005002687
211	0.9980209704
212	0.9973784788
213	0.9940778847
214	0.9880017504
215	0.9821659195
216	0.9783549295
217	0.9722820903
218	0.9683663833
219	0.9652028241
220	0.9611317801
221	0.957111997
222	0.9539989981
223	0.9502782957
224	0.9467163228
225	0.9438907529
226	0.9409289891
227	0.9377243585
228	0.9322844878
229	0.9290196554
230	0.9263496614
231	0.9238418149
232	0.9174873158
233	0.9149202326
234	0.9116113363
235	0.9058823063
236	0.8984320206
237	0.8961222892
238	0.8934711355
239	0.8906936568
240	0.8885389688
241	0.8848276838
242	0.8813862239
243	0.8787264394
244	0.8733183668
245	0.8698374281
246	0.8678533069
247	0.863257427
248	0.8606084442
249	0.8586407525
250	0.8538789589
251	0.8494123474
252	0.8461801405
253	0.8408085602
254	0.8374357363
255	0.832993565
256	0.828111291
257	0.8260710486
258	0.821183137
259	0.8174981984
260	0.8157810892
261	0.8126919904
262	0.8117852823
263	0.8102718198
264	0.8061450932
265	0.8044789863
266	0.7996626091
267	0.7938298583
268	0.7922211305
269	0.7870545153
270	0.7851897714
271	0.783696968
272	0.7802279812
273	0.7758209107
274	0.7727456596
275	0.7684175672
276	0.7669664413
277	0.760891138
278	0.7570772017
279	0.7557053528
280	0.7533800198
281	0.7513522398
282	0.7497761356
283	0.7480799176
284	0.7464708242
285	0.7445052732
286	0.7399655944
287	0.7374777504
288	0.735539071
289	0.7336404556
290	0.7315367773
291	0.728955328
292	0.725085822
293	0.7222730045
294	0.7194308806
295	0.7181593045
296	0.7167684869
297	0.7135200574
298	0.7120789565
299	0.7098997506
300	0.705959016
301	0.7018501376
302	0.6996115719
303	0.6953871764
304	0.6950831511
305	0.6925033513
306	0.6883244619
307	0.6868166103
308	0.6853315937
309	0.6839318433
310	0.6828886743
311	0.6795659835
312	0.6756140533
313	0.6722508082
314	0.6708868194
315	0.669732642
316	0.6677321224
317	0.6668145431
318	0.6656923679
319	0.6643537679
320	0.6600409738
321	0.6573600298
322	0.6531452099
323	0.6516484766
324	0.6502736185
