iter	Passed	Remaining
0	10	15967
1	47	35635
2	53	26697
3	57	21687
4	62	18755
5	71	17712
6	77	16521
7	82	15443
8	87	14530
9	91	13707
10	96	13086
11	100	12502
12	103	11800
13	104	11104
14	108	10738
15	110	10266
16	114	9987
17	118	9759
18	122	9532
19	126	9349
20	128	9059
21	132	8910
22	133	8573
23	137	8472
24	141	8366
25	146	8310
26	150	8202
27	154	8142
28	158	8059
29	161	7891
30	165	7820
31	168	7740
32	173	7705
33	177	7644
34	181	7583
35	181	7396
36	185	7348
37	188	7254
38	188	7073
39	192	7042
40	196	7006
41	197	6866
42	198	6720
43	198	6571
44	202	6559
45	206	6536
46	210	6509
47	211	6410
48	216	6398
49	220	6382
50	220	6262
51	221	6154
52	225	6143
53	229	6140
54	233	6131
55	237	6122
56	239	6073
57	243	6065
58	245	6005
59	246	5911
60	247	5832
61	249	5789
62	252	5749
63	253	5696
64	258	5699
65	258	5620
66	260	5565
67	264	5570
68	265	5499
69	270	5521
70	274	5520
71	279	5535
72	280	5478
73	280	5412
74	281	5340
75	281	5283
76	282	5217
77	286	5225
78	288	5195
79	289	5133
80	289	5070
81	293	5075
82	294	5025
83	298	5028
84	298	4972
85	302	4973
86	303	4935
87	307	4936
88	311	4939
89	315	4948
90	320	4957
91	320	4909
92	321	4866
93	322	4827
94	327	4838
95	331	4842
96	335	4845
97	335	4799
98	339	4806
99	343	4811
100	347	4814
101	348	4777
102	349	4735
103	353	4743
104	357	4746
105	357	4706
106	361	4710
107	363	4690
108	367	4695
109	368	4657
110	370	4639
111	371	4607
112	375	4612
113	376	4572
114	380	4581
115	381	4550
116	385	4562
117	386	4525
118	388	4510
119	392	4514
120	396	4519
121	397	4488
122	399	4473
123	403	4477
124	407	4481
125	409	4467
126	414	4476
127	418	4481
128	419	4454
129	423	4458
130	424	4432
131	425	4413
132	428	4400
133	432	4407
134	433	4381
135	434	4360
136	439	4373
137	442	4370
138	447	4382
139	452	4394
140	457	4406
141	458	4385
142	460	4370
143	461	4346
144	466	4361
145	467	4335
146	467	4306
147	470	4294
148	471	4275
149	473	4258
150	477	4268
151	478	4243
152	481	4236
153	482	4215
154	487	4230
155	488	4207
156	493	4219
157	497	4227
158	502	4236
159	504	4226
160	505	4201
161	506	4181
162	510	4186
163	511	4162
164	515	4167
165	516	4151
166	520	4154
167	520	4130
168	525	4138
169	526	4115
170	526	4093
171	528	4078
172	532	4082
173	534	4075
174	535	4055
175	539	4059
176	543	4062
177	546	4061
178	547	4041
179	551	4047
180	552	4025
181	556	4029
182	558	4021
183	559	3999
184	560	3984
185	561	3966
186	563	3958
187	567	3962
188	568	3945
189	572	3948
190	573	3929
191	574	3912
192	574	3892
193	578	3895
194	580	3883
195	580	3864
196	584	3868
197	587	3861
198	587	3842
199	592	3848
200	594	3842
201	599	3850
202	603	3857
203	608	3867
204	613	3875
205	618	3882
206	624	3899
207	630	3913
208	632	3905
209	638	3920
210	640	3910
211	648	3940
212	650	3927
213	651	3914
214	652	3899
215	653	3887
216	659	3900
217	660	3885
218	667	3902
219	673	3915
220	679	3932
221	689	3968
222	697	3991
223	704	4011
224	708	4012
225	712	4018
226	715	4010
227	720	4019
228	725	4029
229	734	4055
230	739	4062
231	745	4073
232	750	4078
233	754	4084
234	759	4088
235	764	4093
236	769	4098
237	774	4106
238	779	4112
239	785	4125
240	791	4136
241	798	4150
242	804	4161
243	811	4179
244	816	4184
245	821	4190
246	828	4202
247	833	4208
248	841	4230
249	848	4244
250	855	4257
251	861	4266
252	866	4271
253	871	4276
254	876	4278
255	881	4285
256	886	4286
257	891	4289
258	895	4291
259	899	4291
260	903	4290
261	907	4290
262	912	4289
263	916	4289
264	920	4290
265	925	4292
266	930	4299
267	935	4298
268	939	4298
269	944	4303
270	950	4309
271	955	4312
272	960	4317
273	967	4327
274	972	4332
275	978	4341
276	985	4350
277	991	4358
278	997	4365
279	1003	4372
280	1009	4379
281	1014	4383
282	1020	4386
283	1024	4387
284	1029	4387
285	1033	4385
286	1038	4388
287	1042	4389
288	1047	4389
289	1052	4389
290	1057	4392
291	1061	4392
292	1066	4391
293	1070	4389
294	1073	4386
295	1078	4385
296	1082	4384
297	1086	4384
298	1091	4382
299	1095	4381
300	1100	4382
301	1104	4381
302	1108	4379
303	1114	4382
